Gamma Ray,Resistivity,Neutron Porosity,Density,Sonic P,Sonic S,Depth,Facies
128.5294,2.6825,0.2996,2.5073,95.14494974,178.9779189,4143,
128.0345,2.7395,0.311,2.5064,95.20413478,177.8625094,4143.5,
128.3173,2.8,0.3102,2.515,94.57338179,176.6759506,4144,
129.4249,2.79,0.2872,2.5351,93.22568539,176.612885,4144.5,
129.9432,2.8306,0.2812,2.5624,91.82018815,174.9593176,4145,
127.3511,2.9224,0.252,2.5799,90.31510497,175.4223763,4145.5,
132.1585,2.9416,0.282,2.5716,91.16659145,172.9084527,4146,
138.2383,2.9631,0.2929,2.5451,93.31734625,174.7274427,4146.5,
132.2762,2.9246,0.275,2.513,93.9921095,177.7211638,4147,
125.6308,2.8858,0.2577,2.4937,94.28318076,180.7469421,4147.5,
125.8665,2.7581,0.2755,2.4961,94.85488261,180.6750762,4148,
131.9935,2.6764,0.2702,2.4977,95.85361044,183.1551804,4148.5,
143.3048,2.6722,0.2631,2.4847,96.81327824,184.7346705,4149,
144.2003,2.7182,0.2761,2.4763,96.86633581,182.8179104,4149.5,
136.5416,2.7853,0.2973,2.4732,96.6855805,180.2260658,4150,
133.6902,2.8547,0.2804,2.476,95.64951714,179.8952987,4150.5,
135.3397,2.93,0.2788,2.496,94.92537629,178.3962182,4151,
137.3428,3.0174,0.2641,2.5157,93.97426129,177.9116333,4151.5,
132.7947,3.0852,0.2398,2.5254,92.88691002,178.7603951,4152,
132.2527,3.0252,0.2538,2.5253,93.05788416,178.0361758,4152.5,
136.1174,2.8592,0.2717,2.5211,94.44907166,179.2033293,4153,
134.7035,2.932,0.2631,2.532,93.44407251,178.224077,4153.5,
133.4074,3.0263,0.249,2.5442,92.30704868,177.4694197,4154,
128.1759,3.0737,0.2403,2.5317,92.07925155,177.8039355,4154.5,
126.267,3.1295,0.2472,2.512,92.49226517,177.3170377,4155,
129.6133,3.1521,0.2708,2.4995,93.07692977,174.9847581,4155.5,
129.1421,3.1773,0.2627,2.4885,93.23763097,175.8869292,4156,
128.3408,3.194,0.2534,2.4896,93.08702141,176.6976013,4156.5,
128.2937,3.1826,0.2459,2.5042,92.75122137,177.2730736,4157,
127.4924,3.1627,0.2656,2.5117,92.27925063,174.4500711,4157.5,
127.681,3.1272,0.2903,2.5133,92.65746831,173.0856022,4158,
125.89,3.0736,0.2838,2.5198,92.12769204,173.1773771,4158.5,
125.8665,3.0316,0.2674,2.5093,92.86772782,176.3334897,4159,
127.0683,3.0452,0.2751,2.4878,93.77828061,176.5038913,4159.5,
122.3081,3.0129,0.2843,2.4823,93.69949883,175.8881629,4160,
120.5643,2.9497,0.3008,2.4822,94.11111255,175.6841983,4160.5,
126.8562,2.9193,0.3096,2.4817,95.50798827,177.390446,4161,
132.724,2.8648,0.2983,2.4951,95.42027105,178.0162169,4161.5,
134.4207,2.7761,0.3131,2.5162,95.70304428,178.2660717,4162,
132.7004,2.7462,0.3055,2.5294,94.53307839,177.1339899,4162.5,
130.8858,2.7459,0.2932,2.5271,94.09723514,177.5387119,4163,
133.4074,2.7336,0.2977,2.5108,95.38073162,178.9383954,4163.5,
134.5857,2.6744,0.3053,2.4988,96.52658176,180.3523942,4164,
136.4945,2.6301,0.3021,2.4932,97.0463921,181.5787054,4164.5,
133.3839,2.6362,0.3363,2.4883,98.83367687,183.0100919,4165,
126.432,2.6903,0.3115,2.4968,95.6334206,178.7482666,4165.5,
126.3614,2.7914,0.303,2.5099,94.29440024,176.7502943,4166,
124.0048,2.8246,0.2807,2.5154,93.32222555,177.3782074,4166.5,
120.3051,2.8204,0.2662,2.5241,92.49520002,178.098361,4167,
123.0386,2.7995,0.29,2.5296,92.60322572,175.5848429,4167.5,
123.0858,2.7733,0.3245,2.5186,94.49946198,176.348402,4168,
123.7456,2.7139,0.283,2.5064,94.32515181,179.5507601,4168.5,
122.2374,2.6865,0.3008,2.5059,94.32258081,177.8694533,4169,
117.3122,2.7089,0.2948,2.5076,93.39713213,177.1782529,4169.5,
118.4905,2.7348,0.2993,2.5109,93.29381428,176.2928746,4170,
119.3624,2.7677,0.275,2.5144,93.09347184,178.4547745,4170.5,
121.6247,2.7819,0.2737,2.5094,93.59040718,179.0831916,4171,
129.6133,2.7805,0.2904,2.5093,94.60982071,178.2745446,4171.5,
132.7947,2.7562,0.314,2.5158,95.5738672,178.1561809,4172,
128.9535,2.7144,0.2987,2.5216,94.326158,177.654027,4172.5,
131.4986,2.7013,0.3087,2.528,94.71428708,177.5049338,4173,
137.2014,2.69,0.3091,2.5325,95.42558958,178.4863062,4173.5,
142.9514,2.5968,0.3248,2.5226,98.03043175,182.1443114,4174,
148.772,2.3797,0.3393,2.4899,101.8496269,188.2595346,4174.5,
152.8488,2.1539,0.3062,2.4709,101.080443,190.1127316,4175,
146.6276,2.287,0.2538,2.4859,98.03966149,189.3486729,4175.5,
138.6154,2.6177,0.2531,2.504,96.22793497,185.3964958,4176,
128.435,2.9136,0.2364,2.5129,93.48751322,181.0328889,4176.5,
119.763,3.0953,0.2529,2.5177,91.52214781,175.8634114,4177,
124.1226,3.1211,0.245,2.5156,92.13269988,177.1989207,4177.5,
126.8797,3.1553,0.2434,2.5146,92.35143559,177.294234,4178,
126.3849,3.1832,0.2627,2.5348,90.89113542,172.7096749,4178.5,
129.4013,3.2414,0.2661,2.571,89.23969123,169.3927431,4179,
127.8459,3.2471,0.2728,2.5724,89.07835339,168.5310247,4179.5,
121.1299,3.1376,0.2509,2.5357,90.55984693,174.3128988,4180,
124.1934,3.1101,0.2409,2.52,91.99325027,177.4818446,4180.5,
126.5027,3.1513,0.2591,2.5212,91.82969611,174.7579519,4181,
121.8132,3.1775,0.2496,2.5193,91.33892534,175.186917,4181.5,
124.1226,3.2056,0.236,2.5223,91.47806947,176.5054457,4182,
134.3029,3.203,0.2254,2.5161,92.77307799,178.9301607,4182.5,
137.2956,3.1847,0.2614,2.502,93.50357594,176.0069558,4183,
137.5077,3.1643,0.2356,2.504,93.55992842,179.2789154,4183.5,
133.7844,3.1491,0.2715,2.5128,93.04374035,174.760901,4184,
127.8223,3.117,0.2639,2.5061,92.81521088,175.802402,4184.5,
130.0376,3.1,0.2627,2.5073,93.10534785,176.4142872,4185,
124.7824,3.0856,0.2543,2.5263,91.75922903,175.9212304,4185.5,
